row,col,std,custom,similarity,match
4,14,,,1.0,True
4,15,,,1.0,True
4,16,,,1.0,True
4,17,,,1.0,True
4,18,,,1.0,True
4,19,,,1.0,True
4,20,,,1.0,True
4,21,,,1.0,True
4,22,,,1.0,True
4,23,,,1.0,True
4,24,,,1.0,True
4,25,,,1.0,True
4,26,,,1.0,True
4,27,,,1.0,True
4,28,,,1.0,True
4,29,,,1.0,True
4,30,,,1.0,True
4,31,,,1.0,True
4,32,,,1.0,True
4,33,,,1.0,True
4,34,,,1.0,True
4,35,,,1.0,True
4,36,,,1.0,True
4,37,,,1.0,True
4,38,,,1.0,True
4,39,,,1.0,True
4,40,,,1.0,True
4,41,,,1.0,True
4,42,,,1.0,True
4,43,,,1.0,True
4,44,,,1.0,True
4,45,,,1.0,True
4,46,,,1.0,True
4,47,,,1.0,True
4,48,,,1.0,True
4,49,,,1.0,True
4,50,,,1.0,True
4,51,,,1.0,True
4,52,,,1.0,True
4,53,,,1.0,True
4,54,,,1.0,True
4,55,,,1.0,True
4,56,,,1.0,True
4,57,,,1.0,True
4,58,,,1.0,True
4,59,,,1.0,True
4,60,,,1.0,True
4,61,,,1.0,True
5,0,,R5ss7,0.0,False
5,1,,,1.0,True
5,2,,,1.0,True
5,3,,,1.0,True
5,4,,,1.0,True
5,5,,,1.0,True
5,6,,,1.0,True
5,7,,,1.0,True
5,8,,,1.0,True
5,9,,,1.0,True
5,10,,,1.0,True
5,11,,,1.0,True
5,12,,,1.0,True
5,13,,,1.0,True
5,14,,,1.0,True
5,15,,,1.0,True
5,16,,,1.0,True
5,17,,,1.0,True
5,18,,,1.0,True
5,19,,,1.0,True
5,20,,,1.0,True
5,21,,,1.0,True
5,22,,,1.0,True
5,23,,,1.0,True
5,24,,,1.0,True
5,25,,,1.0,True
5,26,,,1.0,True
5,27,,,1.0,True
5,28,,,1.0,True
5,29,,,1.0,True
5,30,,,1.0,True
5,31,,,1.0,True
5,32,,,1.0,True
5,33,,,1.0,True
5,34,,,1.0,True
5,35,,,1.0,True
5,36,,,1.0,True
5,37,,,1.0,True
5,38,,,1.0,True
5,39,,,1.0,True
5,40,,,1.0,True
5,41,,,1.0,True
5,42,,,1.0,True
5,43,,,1.0,True
5,44,,,1.0,True
5,45,,,1.0,True
5,46,,Co,0.0,False
5,47,,,1.0,True
5,48,,,1.0,True
5,49,,,1.0,True
5,50,6,o,0.0,False
5,51,,,1.0,True
5,52,,,1.0,True
5,53,,,1.0,True
5,54,,,1.0,True
5,55,,,1.0,True
5,56,,,1.0,True
5,57,,,1.0,True
5,58,,,1.0,True
5,59,,,1.0,True
5,60,,,1.0,True
5,61,,,1.0,True
6,0,Cepilla,Cepillo,0.857,False
